CHARACTER DISTANCE,FOOD DISTANCE,SKILL LEVEL,STEERING ACTION
321.599,360.694,24,DANCING
321.599,360.694,24,DANCING
321.599,360.694,24,DANCING
321.599,360.694,24,DANCING
321.599,360.694,24,DANCING
321.599,360.694,26,WANDERING
321.599,360.694,26,DANCING
321.599,360.694,26,DANCING
321.599,360.694,26,DANCING
321.599,360.694,26,DANCING
321.599,360.694,26,DANCING
321.599,360.694,26,DANCING
321.599,360.694,26,DANCING
321.599,360.694,26,DANCING
321.599,360.694,26,DANCING
321.599,360.694,26,DANCING
321.599,360.694,26,DANCING
321.599,360.694,26,DANCING
321.599,360.694,26,DANCING
321.599,360.694,26,DANCING
321.599,360.694,26,DANCING
321.599,360.694,26,DANCING
321.599,360.694,26,DANCING
321.599,360.694,26,DANCING
321.599,360.694,26,DANCING
321.599,360.694,26,DANCING
321.599,360.694,26,DANCING
321.599,360.694,26,DANCING
321.599,360.694,26,DANCING
321.599,360.694,26,DANCING
321.599,360.694,26,DANCING
321.599,360.694,26,DANCING
321.599,360.694,26,DANCING
321.599,360.694,26,DANCING
321.599,360.694,26,DANCING
321.599,360.694,28,WANDERING
321.599,360.694,28,DANCING
321.599,360.694,28,DANCING
321.599,360.694,28,DANCING
321.599,360.694,28,DANCING
321.599,360.694,28,DANCING
321.599,360.694,28,DANCING
321.599,360.694,28,DANCING
321.599,360.694,28,DANCING
321.599,360.694,28,DANCING
321.599,360.694,28,DANCING
321.599,360.694,28,DANCING
321.599,360.694,28,DANCING
321.599,360.694,28,DANCING
321.599,360.694,28,DANCING
321.599,360.694,28,DANCING
321.599,360.694,28,DANCING
321.599,360.694,28,DANCING
321.599,360.694,28,DANCING
321.599,360.694,28,DANCING
321.599,360.694,28,DANCING
321.599,360.694,28,DANCING
321.599,360.694,28,DANCING
321.599,360.694,28,DANCING
321.599,360.694,28,DANCING
321.599,360.694,28,DANCING
321.599,360.694,28,DANCING
321.599,360.694,28,DANCING
321.599,360.694,28,DANCING
321.599,360.694,28,DANCING
321.599,360.694,30,WANDERING
321.599,360.694,30,WANDERING
323.392,360.663,30,WANDERING
323.974,360.655,30,WANDERING
325.259,360.64,30,WANDERING
326.033,360.634,30,WANDERING
327.07,360.628,30,WANDERING
327.88,360.625,30,WANDERING
328.777,360.624,30,WANDERING
329.563,360.626,30,WANDERING
330.367,360.629,30,WANDERING
331.109,360.633,30,WANDERING
331.842,360.639,30,WANDERING
332.533,360.646,30,WANDERING
333.206,360.654,30,WANDERING
333.848,360.663,30,WANDERING
334.467,360.672,30,WANDERING
